PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32572199","Integrating spatial gene expression and breast tumour morphology via deep learning","He B, Bergenstråhle L, Stenbeck L, Abid A, Andersson A, Borg Å, Maaskola J, Lundeberg J, Zou J.","Nat Biomed Eng. 2020 Aug;4(8):827-834. doi: 10.1038/s41551-020-0578-x. Epub 2020 Jun 22.","He B","Nat Biomed Eng","2020","2020/06/24","","","10.1038/s41551-020-0578-x"
"32738449","MicroRNA-342-3p is a potent tumour suppressor in hepatocellular carcinoma","Komoll RM, Hu Q, Olarewaju O, von Döhlen L, Yuan Q, Xie Y, Tsay HC, Daon J, Qin R, Manns MP, Sharma AD, Goga A, Ott M, Balakrishnan A.","J Hepatol. 2021 Jan;74(1):122-134. doi: 10.1016/j.jhep.2020.07.039. Epub 2020 Jul 30.","Komoll RM","J Hepatol","2021","2020/08/02","","","10.1016/j.jhep.2020.07.039"
"33762732","Breast tumours maintain a reservoir of subclonal diversity during expansion","Minussi DC, Nicholson MD, Ye H, Davis A, Wang K, Baker T, Tarabichi M, Sei E, Du H, Rabbani M, Peng C, Hu M, Bai S, Lin YW, Schalck A, Multani A, Ma J, McDonald TO, Casasent A, Barrera A, Chen H, Lim B, Arun B, Meric-Bernstam F, Van Loo P, Michor F, Navin NE.","Nature. 2021 Apr;592(7853):302-308. doi: 10.1038/s41586-021-03357-x. Epub 2021 Mar 24.","Minussi DC","Nature","2021","2021/03/25","PMC8049101","NIHMS1673613","10.1038/s41586-021-03357-x"
"29431737","A DNA nanorobot functions as a cancer therapeutic in response to a molecular trigger in vivo","Li S, Jiang Q, Liu S, Zhang Y, Tian Y, Song C, Wang J, Zou Y, Anderson GJ, Han JY, Chang Y, Liu Y, Zhang C, Chen L, Zhou G, Nie G, Yan H, Ding B, Zhao Y.","Nat Biotechnol. 2018 Mar;36(3):258-264. doi: 10.1038/nbt.4071. Epub 2018 Feb 12.","Li S","Nat Biotechnol","2018","2018/02/13","","","10.1038/nbt.4071"
"33567269","Systematic characterization of mutations altering protein degradation in human cancers","Tokheim C, Wang X, Timms RT, Zhang B, Mena EL, Wang B, Chen C, Ge J, Chu J, Zhang W, Elledge SJ, Brown M, Liu XS.","Mol Cell. 2021 Mar 18;81(6):1292-1308.e11. doi: 10.1016/j.molcel.2021.01.020. Epub 2021 Feb 9.","Tokheim C","Mol Cell","2021","2021/02/10","","","10.1016/j.molcel.2021.01.020"
"33149148","Integrated digital pathology and transcriptome analysis identifies molecular mediators of T-cell exclusion in ovarian cancer","Desbois M, Udyavar AR, Ryner L, Kozlowski C, Guan Y, Dürrbaum M, Lu S, Fortin JP, Koeppen H, Ziai J, Chang CW, Keerthivasan S, Plante M, Bourgon R, Bais C, Hegde P, Daemen A, Turley S, Wang Y.","Nat Commun. 2020 Nov 4;11(1):5583. doi: 10.1038/s41467-020-19408-2.","Desbois M","Nat Commun","2020","2020/11/05","PMC7642433","","10.1038/s41467-020-19408-2"
"32473126","Cancer Burden Is Controlled by Mural Cell-β3-Integrin Regulated Crosstalk with Tumor Cells","Wong PP, Muñoz-Félix JM, Hijazi M, Kim H, Robinson SD, De Luxán-Delgado B, Rodríguez-Hernández I, Maiques O, Meng YM, Meng Q, Bodrug N, Dukinfield MS, Reynolds LE, Elia G, Clear A, Harwood C, Wang Y, Campbell JJ, Singh R, Zhang P, Schall TJ, Matchett KP, Henderson NC, Szlosarek PW, Dreger SA, Smith S, Jones JL, Gribben JG, Cutillas PR, Meier P, Sanz-Moreno V, Hodivala-Dilke KM.","Cell. 2020 Jun 11;181(6):1346-1363.e21. doi: 10.1016/j.cell.2020.02.003. Epub 2020 May 29.","Wong PP","Cell","2020","2020/05/31","","","10.1016/j.cell.2020.02.003"
"32958684","Malignant cell-specific CXCL14 promotes tumor lymphocyte infiltration in oral cavity squamous cell carcinoma","Parikh A, Shin J, Faquin W, Lin DT, Tirosh I, Sunwoo JB, Puram SV.","J Immunother Cancer. 2020 Sep;8(2):e001048. doi: 10.1136/jitc-2020-001048.","Parikh A","J Immunother Cancer","2020","2020/09/22","PMC7507891","","10.1136/jitc-2020-001048"
"28104840","Tumor aneuploidy correlates with markers of immune evasion and with reduced response to immunotherapy","Davoli T, Uno H, Wooten EC, Elledge SJ.","Science. 2017 Jan 20;355(6322):eaaf8399. doi: 10.1126/science.aaf8399.","Davoli T","Science","2017","2017/01/21","PMC5592794","NIHMS893889","10.1126/science.aaf8399"
"32665356","A Tissue-Engineered 3D Microvessel Model Reveals the Dynamics of Mosaic Vessel Formation in Breast Cancer","Silvestri VL, Henriet E, Linville RM, Wong AD, Searson PC, Ewald AJ.","Cancer Res. 2020 Oct 1;80(19):4288-4301. doi: 10.1158/0008-5472.CAN-19-1564. Epub 2020 Jul 14.","Silvestri VL","Cancer Res","2020","2020/07/16","PMC7541732","NIHMS1613151","10.1158/0008-5472.CAN-19-1564"
